numero;nom;plan_eau;municipalite;mrc;categorie;lat;lon;url_fiche
X2171694;nan;;Coteau-du-Lac;Vaudreuil-Soulanges;Faible contenance;45.283611;-74.157222;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2171696;nan;Trib.45D.55M.34S.-73D.25M.29S.;L'Assomption;L'Assomption;Faible contenance;45.925694;-73.423722;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2171698;nan;;Saint-Apollinaire;Lotbinière;Faible contenance;46.6;-71.514056;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2171700;nan;;Eastman;Memphrémagog;Faible contenance;45.290958;-72.321417;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2172801;nan;;Sainte-Catherine-de-Hatley;Memphrémagog;Faible contenance;45.2635;-71.999889;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2172804;nan;;Bromont;Brome-Missisquoi;Faible contenance;45.300667;-72.647833;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2172807;nan;Neuf, Lac;Sainte-Béatrix;Matawinie;Forte contenance;46.267581;-73.652919;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2172808;nan;Barachois, Ruisseau du;Saguenay;Ville de Saguenay;Faible contenance;48.316056;-70.84875;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2172809;nan;;La Minerve;Les Laurentides;Faible contenance;46.166897;-75.019597;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2172812;nan;;Saint-Sauveur;Les Pays-d'en-Haut;Petit barrage;45.910836;-74.18795;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2172814;nan;COUSINEAU / Dick, Ruisseau;Labelle;Les Laurentides;Forte contenance (parent);46.248944;-74.730056;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2172815;nan;Trib.47D.49M.19S.-69D.26M.01S.;Saint-Modeste;Rivière-du-Loup;Faible contenance;47.803333;-69.420556;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2172816;nan;Montagne, Ruisseau de la;Bolton-Ouest;Brome-Missisquoi;Faible contenance;45.22175;-72.431111;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2172817;nan;Montagne, Ruisseau de la;Bolton-Ouest;Brome-Missisquoi;Faible contenance;45.222139;-72.430556;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2172818;nan;;Sutton;Brome-Missisquoi;Faible contenance;45.14575;-72.563778;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2172819;nan;;Sherbrooke;Ville de Sherbrooke;Petit barrage;45.388167;-72.09325;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2172820;nan;;Sherbrooke;Ville de Sherbrooke;Petit barrage;45.386667;-72.092889;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2174880;nan;Trib.45D.14M.47S.-72D.33M.03S.;Lac-Brome;Brome-Missisquoi;Faible contenance;45.243139;-72.567111;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2174881;nan;;Bolton-Est;Memphrémagog;Faible contenance;45.189639;-72.321694;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2174883;nan;Mandeville, Rivière;Mandeville;D'Autray;Faible contenance;46.406194;-73.315806;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2174885;Tonty, Barrage;Tonty, Lac / Tonty, Ruisseau;Linton;Portneuf;Petit barrage;47.207;-72.030972;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2174886;nan;Major, Lac / Trib.46D.22M.44S.-74D.12M.33S.;Saint-Donat;Matawinie;Forte contenance;46.362278;-74.206306;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2174887;nan;Grégoire, Lac;Sainte-Marcelline-de-Kildare;Matawinie;Petit barrage;46.088917;-73.649;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2174888;Wahoo-2;Wahoo, Rivière;Lac-Lenôtre;La Vallée-de-la-Gatineau;Forte contenance;47.502111;-76.112139;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2174889;nan;Roberge, Ruisseau;Notre-Dame-de-Montauban;Mékinac;Forte contenance;46.957417;-72.294306;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2174897;nan;Trib.48D.44M.58S.-72D.12M.06S.;Dolbeau-Mistassini;Maria-Chapdelaine;Faible contenance;48.777222;-72.209611;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2174898;nan;;Maricourt;Le Val-Saint-François;Faible contenance;45.55725;-72.330028;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2174899;nan;;Maricourt;Le Val-Saint-François;Faible contenance;45.556236;-72.329983;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2174903;nan;Benda, Ruisseau;Racine;Le Val-Saint-François;Forte contenance;45.457806;-72.237444;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2174904;nan;Trib.46D.15M.16S.-73D.11M.41S.;Saint-Barthélemy;D'Autray;Faible contenance;46.269167;-73.231667;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2174905;nan;Trib.46D.02M.50S.-74D.05M.33S.;Sainte-Marguerite-du-Lac-Masson;Les Pays-d'en-Haut;Petit barrage;46.053222;-74.103722;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2175868;nan;Trib.46D.15M.25S.-73D.16M.29S.;Saint-Gabriel-de-Brandon;D'Autray;Faible contenance;46.285639;-73.27175;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2175869;Sans nom, Barrage;Trib.46D.15M.25S.-73D.16M.29S.;Saint-Gabriel-de-Brandon;D'Autray;Faible contenance;46.287083;-73.270861;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2175870;nan;Roches, Rivière des;Saint-Augustin-de-Desmaures;Ville de Québec;Faible contenance;46.7355;-71.509306;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2175872;nan;Trib.46D.15M.16S.-73D.11M.41S.;Saint-Barthélemy;D'Autray;Petit barrage;46.269639;-73.229917;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2175876;nan;COUSINEAU / Dick, Ruisseau;Labelle;Les Laurentides;Forte contenance (parent);46.244472;-74.730444;https://www.cehq.gouv.qc.ca/barrages/default.asp
